name,affiliation,department,gold_email,gold_website
P. Levchenko,Northeastern University,Physics and Astronomy,,
Alessandro Vespignani,Northeastern University,Mathematics,,
Lisa Feldman Barrett,Northeastern University,Neuroscience,,
Edward McAuley,Northeastern University,Medicine,,
R. V. Morris,Northeastern University,Physics and Astronomy,,
Mansoor M. Amiji,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Herbert Levine,Northeastern University,Medicine,,
Eduardo D. Sontag,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
B. Bylsma,Northeastern University,Physics and Astronomy,,
S. Reid,Northeastern University,Physics and Astronomy,,
Charles H. Hillman,Northeastern University,Psychology,,
Barry L. Karger,Northeastern University,Chemistry,,
M. Chasco,Northeastern University,Physics and Astronomy,,
Sanjeev Mukerjee,Northeastern University,Energy,,
D. Wood,Northeastern University,Physics and Astronomy,,
David Michael Morse,Northeastern University,Physics and Astronomy,,
Judith A. Hall,Northeastern University,Health Professions,,
Ravinder Dahiya,Northeastern University,Engineering,,
Alexandros Makriyannis,Northeastern University,Medicine,,
D. Baumgartel,Northeastern University,Physics and Astronomy,,
Yun Fu,Northeastern University,Computer Science,,
Gregory D. Abowd,Northeastern University,Computer Science,,
Vladimir P. Torchilin,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Alain Karma,Northeastern University,Materials Science,,
Charles L. Bennett,Northeastern University,"Economics, Econometrics and Finance",,
Jeffrey W. Olin,Northeastern University,Medicine,,
T. Lazovich,Northeastern University,Physics and Astronomy,,
Kim Lewis,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Hongli Zhu,Northeastern University,Engineering,,
D. Freeborn,Northeastern University,Physics and Astronomy,,
David H. Wasserman,Northeastern University,Medicine,,
Vito Quaranta,Northeastern University,Medicine,,
Robin Walters,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Jonathan L. Tilly,Northeastern University,Medicine,,
Ricardo Baeza‐Yates,Northeastern University,Computer Science,,
S.-H. Lee,Northeastern University,Physics and Astronomy,,
­Debra L. Franko,Northeastern University,Psychology,,
Michail V. Sitkovsky,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
T. Orimoto,Northeastern University,Physics and Astronomy,,
Fabrizio Lombardi,Northeastern University,Computer Science,,
Stephen Wright,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
B. Wang,Northeastern University,Physics and Astronomy,,
Ning Wang,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
L. Skinnari,Northeastern University,Physics and Astronomy,,
Elizabeth A. Davis,Northeastern University,Medicine,,
Milica Stojanovic,Northeastern University,Engineering,,
Ebrahim Mostafavi,Northeastern University,Engineering,,
De Yun Wang,Northeastern University,Medicine,,
John R. Engen,Northeastern University,Chemistry,,
Craig F. Ferris,Northeastern University,Psychology,,
Ruth V. Aguilera,Northeastern University,"Business, Management and Accounting",,
Chun’an Tang,Northeastern University,Engineering,,
John L. Griffith,Northeastern University,Medicine,,
Brian Helmuth,Northeastern University,Environmental Science,,
Pran Nath,Northeastern University,Physics and Astronomy,,
David Lazer,Northeastern University,Social Sciences,,
Engin Kirda,Northeastern University,Computer Science,,
