name,affiliation,department,gold_email,gold_website
Zhong Lin Wang,Massachusetts Institute of Technology,Engineering,,
Stephen L. Buchwald,Massachusetts Institute of Technology,Chemistry,,
M. S. Dresselhaus,Massachusetts Institute of Technology,Materials Science,,
Moungi G. Bawendi,Massachusetts Institute of Technology,Materials Science,,
Susumu Tonegawa,Massachusetts Institute of Technology,Neuroscience,,
G. Gomez Ceballos,Massachusetts Institute of Technology,Physics and Astronomy,,
Stephen J. Lippard,Massachusetts Institute of Technology,Medicine,,
J. M. Conrad,Massachusetts Institute of Technology,Physics and Astronomy,,
P. H. Hansen,Massachusetts Institute of Technology,Physics and Astronomy,,
James G. Fujimoto,Massachusetts Institute of Technology,Engineering,,
H. Robert Horvitz,Massachusetts Institute of Technology,"Biochemistry, Genetics and Molecular Biology",,
G. S. F. Stephans,Massachusetts Institute of Technology,Physics and Astronomy,,
Daniela Rus,Massachusetts Institute of Technology,Engineering,,
D. Krasnopevtsev,Massachusetts Institute of Technology,Physics and Astronomy,,
David E. Housman,Massachusetts Institute of Technology,Neuroscience,,
Robert G. Griffin,Massachusetts Institute of Technology,Chemistry,,
G. Dresselhaus,Massachusetts Institute of Technology,Materials Science,,
Roger D. Kamm,Massachusetts Institute of Technology,Engineering,,
Leonard Guarente,Massachusetts Institute of Technology,Medicine,,
C. Roland,Massachusetts Institute of Technology,Physics and Astronomy,,
Anantha P. Chandrakasan,Massachusetts Institute of Technology,Engineering,,
Timothy M. Swager,Massachusetts Institute of Technology,Chemistry,,
Gregory Stephanopoulos,Massachusetts Institute of Technology,"Biochemistry, Genetics and Molecular Biology",,
Sangeeta N. Bhatia,Massachusetts Institute of Technology,Engineering,,
Gareth H. McKinley,Massachusetts Institute of Technology,Chemical Engineering,,
R. Ferrari,Massachusetts Institute of Technology,Physics and Astronomy,,
Robert T. Sauer,Massachusetts Institute of Technology,"Biochemistry, Genetics and Molecular Biology",,
James G. Fox,Massachusetts Institute of Technology,Medicine,,
K. Sumorok,Massachusetts Institute of Technology,Physics and Astronomy,,
Wolfgang Ketterle,Massachusetts Institute of Technology,Physics and Astronomy,,
T. Alan Hatton,Massachusetts Institute of Technology,Chemistry,,
Roger E. Summons,Massachusetts Institute of Technology,Engineering,,
Sallie W. Chisholm,Massachusetts Institute of Technology,Environmental Science,,
V. Azzolini,Massachusetts Institute of Technology,Physics and Astronomy,,
Marin Soljačić,Massachusetts Institute of Technology,Engineering,,
