name,affiliation,department,gold_email,gold_website
Richard A. Flavell,Yale University,Immunology and Microbiology,,
Lewis C. Cantley,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Paul Greengard,Yale University,Neuroscience,,
Liangbing Hu,Yale University,Engineering,,
Joseph Schlessinger,Yale University,Medicine,,
Eric P. Winer,Yale University,"Biochemistry, Genetics and Molecular Biology",,
S. M. Farrington,Yale University,Physics and Astronomy,,
Peter J. Schwartz,Yale University,Medicine,,
Donna Spiegelman,Yale University,Medicine,,
S. Palestini,Yale University,Physics and Astronomy,,
Thomas S. Huang,Yale University,Computer Science,,
Alan E. Kazdin,Yale University,Psychology,,
Pasko Rakić,Yale University,Neuroscience,,
James F. Leckman,Yale University,Psychology,,
Derek C. Angus,Yale University,Medicine,,
Ronald S. Duman,Yale University,Neuroscience,,
L. Romero,Yale University,Physics and Astronomy,,
Roy S. Herbst,Yale University,Medicine,,
M. Šumbera,Yale University,Physics and Astronomy,,
David L. Rimm,Yale University,Medicine,,
Lieping Chen,Yale University,Immunology and Microbiology,,
Stephen G. Waxman,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Angus C. Nairn,Yale University,Neuroscience,,
Carlos A. Peres,Yale University,Environmental Science,,
John F. Dovidio,Yale University,Social Sciences,,
David Vlahov,Yale University,Medicine,,
Akiko Iwasaki,Yale University,Immunology and Microbiology,,
Alexandra J. Lansky,Yale University,Medicine,,
Thomas D. Pollard,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Fred R. Volkmar,Yale University,Neuroscience,,
Neil Pearce,Yale University,Medicine,,
Lee H. Schwamm,Yale University,Medicine,,
J. H. Thomas,Yale University,Physics and Astronomy,,
Michelle L. Bell,Yale University,Environmental Science,,
Tom R. Tyler,Yale University,Social Sciences,,
R. Todd Constable,Yale University,Neuroscience,,
Peter Salovey,Yale University,Psychology,,
O. K. Baker,Yale University,Physics and Astronomy,,
Martin A. Schwartz,Yale University,Medicine,,
Robert A. Rosenheck,Yale University,Medicine,,
Michael Simons,Yale University,"Biochemistry, Genetics and Molecular Biology",,
David Schoenfeld,Yale University,Medicine,,
Lajos Pusztai,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Tamás L. Horváth,Yale University,Neuroscience,,
Joan A. Steitz,Yale University,"Biochemistry, Genetics and Molecular Biology",,
William Oh,Yale University,Medicine,,
Silvio E. Inzucchi,Yale University,Medicine,,
Douglas L. Rothman,Yale University,Medicine,,
Steven M. Southwick,Yale University,Psychology,,
Amy C. Justice,Yale University,Medicine,,
Alice B. Gottlieb,Yale University,Immunology and Microbiology,,
A. White,Yale University,Physics and Astronomy,,
Richard Bucala,Yale University,Immunology and Microbiology,,
Naftali Kaminski,Yale University,Medicine,,
M. Demichev,Yale University,Physics and Astronomy,,
Tyrone D. Cannon,Yale University,Medicine,,
T. Lagouri,Yale University,Physics and Astronomy,,
Jordan S. Pober,Yale University,Medicine,,
William V. Tamborlane,Yale University,Medicine,,
Hugh R. Taylor,Yale University,Medicine,,
Walter Jetz,Yale University,Environmental Science,,
Erol Fikrig,Yale University,Immunology and Microbiology,,
Hugh S. Taylor,Yale University,Medicine,,
Pieter van Dokkum,Yale University,Physics and Astronomy,,
F. Garberson,Yale University,Physics and Astronomy,,
S. Shojaii,Yale University,Physics and Astronomy,,
Philip D. Harvey,Yale University,Medicine,,
M. LeBlanc,Yale University,Physics and Astronomy,,
Richard E. Carson,Yale University,Medicine,,
Samuel H. Wilson,Yale University,"Biochemistry, Genetics and Molecular Biology",,
C. Cuenca Almenar,Yale University,Physics and Astronomy,,
Howard Feldman,Yale University,Medicine,,
S. M. Girvin,Yale University,Physics and Astronomy,,
Rajita Sinha,Yale University,Neuroscience,,
R. Brian Haynes,Yale University,Health Professions,,
Rashmi Sinha,Yale University,Medicine,,
Guadalupe García–Tsao,Yale University,Medicine,,
A. Henrichs,Yale University,Physics and Astronomy,,
John Jonides,Yale University,Neuroscience,,
Richard A. Ehrenkranz,Yale University,Medicine,,
John A. Bargh,Yale University,Social Sciences,,
Thomas M. Gill,Yale University,Medicine,,
Kathleen M. Carroll,Yale University,Medicine,,
Gregory McCarthy,Yale University,Neuroscience,,
Gary W. Brudvig,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Peter Cresswell,Yale University,Immunology and Microbiology,,
J. Reedijk,Yale University,Medicine,,
Harvey A. Risch,Yale University,Medicine,,
Ian E. Krop,Yale University,Medicine,,
A. Loginov,Yale University,Physics and Astronomy,,
Loren Laine,Yale University,Medicine,,
Anna C. Nobre,Yale University,Neuroscience,,
E. Benhar Noccioli,Yale University,Physics and Astronomy,,
Nicholas A. Christakis,Yale University,Social Sciences,,
Craig M. Crews,Yale University,"Biochemistry, Genetics and Molecular Biology",,
P. Tipton,Yale University,Physics and Astronomy,,
P. Tipton,Yale University,Physics and Astronomy,,
Maura L. Gillison,Yale University,Medicine,,
Peter A. Humphrey,Yale University,Medicine,,
L. Gauthier,Yale University,Physics and Astronomy,,
Matthias Wuttig,Yale University,Materials Science,,
Dieter Söll,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Kenneth K. Kídd,Yale University,"Biochemistry, Genetics and Molecular Biology",,
W. Mark Saltzman,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Paul D. Cleary,Yale University,Health Professions,,
Manohar M. Panjabi,Yale University,Medicine,,
Gary W. Cline,Yale University,Medicine,,
Marcia K. Johnson,Yale University,Neuroscience,,
K. Yip,Yale University,Physics and Astronomy,,
Sarbani Basu,Yale University,Physics and Astronomy,,
Theodore R. Holford,Yale University,Medicine,,
Z. Czyczula,Yale University,Physics and Astronomy,,
Robert H. Pietrzak,Yale University,Psychology,,
Albert I. Ko,Yale University,Immunology and Microbiology,,
Robert Homer,Yale University,Medicine,,
Mario Sznol,Yale University,Medicine,,
James L. Boyer,Yale University,Medicine,,
S. Bedikian,Yale University,Physics and Astronomy,,
Robert G. Shulman,Yale University,Medicine,,
Joseph A. Madri,Yale University,Medicine,,
Heping Zhang,Yale University,Medicine,,
A. Augustinus,Yale University,Physics and Astronomy,,
Debra A. Fischer,Yale University,Physics and Astronomy,,
Kevan C. Herold,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Donald M. Engelman,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Sulayman D. Dib‐Hajj,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Mikkael A. Sekeres,Yale University,Medicine,,
Laura J. Esserman,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Kenneth B. Wiberg,Yale University,Physics and Astronomy,,
Kevin P. White,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Jonathon Howard,Yale University,"Biochemistry, Genetics and Molecular Biology",,
Eric J. Velazquez,Yale University,Medicine,,
Ya‐Ping Sun,Yale University,Materials Science,,
E. Ideal,Yale University,Physics and Astronomy,,
Mary E. Tinetti,Yale University,"Economics, Econometrics and Finance",,
Peter C.B. Phillips,Yale University,"Economics, Econometrics and Finance",,
C. M. Urry,Yale University,Physics and Astronomy,,
T. D. S. Stanislaus,Yale University,Physics and Astronomy,,
