name,affiliation,department,gold_email,gold_website
H. Vincent Poor,Princeton University,Computer Science,,
Daniel Kahneman,Princeton University,Decision Sciences,,
R. J. Cava,Princeton University,Physics and Astronomy,,
Simon A. Levin,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
C. Tully,Princeton University,Physics and Astronomy,,
P. Elmer,Princeton University,Physics and Astronomy,,
Michael A. Strauss,Princeton University,Physics and Astronomy,,
K. M. Ecklund,Princeton University,Physics and Astronomy,,
Iain McCulloch,Princeton University,Materials Science,,
S. Piperov,Princeton University,Physics and Astronomy,,
N. Neumeister,Princeton University,Physics and Astronomy,,
J. Metcalfe,Princeton University,Physics and Astronomy,,
Howard A. Stone,Princeton University,Engineering,,
P. de Barbaro,Princeton University,Physics and Astronomy,,
Joshua D. Rabinowitz,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
David W. C. MacMillan,Princeton University,Chemistry,,
Jonathan D. Cohen,Princeton University,Neuroscience,,
Robert H. Lupton,Princeton University,Physics and Astronomy,,
L. N. Pfeiffer,Princeton University,Physics and Astronomy,,
Michael Levine,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
W. C. Jones,Princeton University,Physics and Astronomy,,
Douglas S. Massey,Princeton University,Social Sciences,,
T. Lesiak,Princeton University,Physics and Astronomy,,
Eliot Quataert,Princeton University,Physics and Astronomy,,
K. Bechtol,Princeton University,Physics and Astronomy,,
Y. S. Lai,Princeton University,Physics and Astronomy,,
François M. M. Morel,Princeton University,Earth and Planetary Sciences,,
William Oh,Princeton University,Medicine,,
David N. Spergel,Princeton University,Physics and Astronomy,,
Bryan T. Grenfell,Princeton University,Mathematics,,
Robert E. Tarjan,Princeton University,Computer Science,,
Eileen White,Princeton University,Medicine,,
David A. Huse,Princeton University,Physics and Astronomy,,
Thomas Shenk,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Roberto Car,Princeton University,Physics and Astronomy,,
D. J. McComas,Princeton University,Physics and Astronomy,,
Danielle S. Bassett,Princeton University,Neuroscience,,
J. Olsen,Princeton University,Physics and Astronomy,,
Gregory D. Scholes,Princeton University,Physics and Astronomy,,
Benjamin A. García,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Thomas J. Silhavy,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
K. W. West,Princeton University,Physics and Astronomy,,
Élliott H. Lieb,Princeton University,Mathematics,,
Alejandro Portes,Princeton University,Social Sciences,,
D. Lange,Princeton University,Physics and Astronomy,,
Emily A. Carter,Princeton University,Physics and Astronomy,,
Salvatore Torquato,Princeton University,Materials Science,,
Christodoulos A. Floudas,Princeton University,Engineering,,
John Rex,Princeton University,Medicine,,
Jianqing Fan,Princeton University,Mathematics,,
Gabriel A. Vecchi,Princeton University,Environmental Science,,
Jennifer Rexford,Princeton University,Computer Science,,
Daniel M. Sigman,Princeton University,Environmental Science,,
Frank H. Stillinger,Princeton University,Materials Science,,
J. Biesiada,Princeton University,Physics and Astronomy,,
Thomas L. Griffiths,Princeton University,Psychology,,
Noga Alon,Princeton University,Computer Science,,
Chung K. Law,Princeton University,Engineering,,
Stephen W. Pacala,Princeton University,Environmental Science,,
Annabella Selloni,Princeton University,Materials Science,,
Antoine Kahn,Princeton University,Engineering,,
E Weinan,Princeton University,Materials Science,,
P. Hebda,Princeton University,Physics and Astronomy,,
Paul J. Steinhardt,Princeton University,Physics and Astronomy,,
Myles Allen,Princeton University,Environmental Science,,
Isaac M. Held,Princeton University,Environmental Science,,
C. Hanna,Princeton University,Physics and Astronomy,,
V. E. Barnes,Princeton University,Physics and Astronomy,,
John T. Groves,Princeton University,Materials Science,,
Tom W. Muir,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Mircea Dincă,Princeton University,Chemistry,,
A. Zuranski,Princeton University,Physics and Astronomy,,
Paul J. Chirik,Princeton University,Materials Science,,
N. P. Ong,Princeton University,Physics and Astronomy,,
Yibin Kang,Princeton University,Medicine,,
Pablo G. Debenedetti,Princeton University,Engineering,,
Andrea Goldsmith,Princeton University,Computer Science,,
W. Xie,Princeton University,Physics and Astronomy,,
V. Halyo,Princeton University,Physics and Astronomy,,
B. T. Draine,Princeton University,Physics and Astronomy,,
Robert O. Keohane,Princeton University,Social Sciences,,
Herschel Rabitz,Princeton University,Physics and Astronomy,,
V. E. Barnes,Princeton University,Physics and Astronomy,,
Ned S. Wingreen,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Elizabeth Gould,Princeton University,Neuroscience,,
N. Parashar,Princeton University,Physics and Astronomy,,
Chuan‐Jian Zhong,Princeton University,Energy,,
George W. Scherer,Princeton University,Earth and Planetary Sciences,,
S. Kwan,Princeton University,Physics and Astronomy,,
Stephen M. Griffies,Princeton University,Earth and Planetary Sciences,,
J. J. Hopfield,Princeton University,Computer Science,,
J. Dolen,Princeton University,Physics and Astronomy,,
Yiguang Ju,Princeton University,Engineering,,
Robert H. Austin,Princeton University,Engineering,,
Peter R. Grant,Princeton University,Agricultural and Biological Sciences,,
D. Stickland,Princeton University,Physics and Astronomy,,
Michael L. Bender,Princeton University,Earth and Planetary Sciences,,
Philip Holmes,Princeton University,Physics and Astronomy,,
D. Lopes Pegna,Princeton University,Physics and Astronomy,,
Sharon Hammes‐Schiffer,Princeton University,Physics and Astronomy,,
Joshua N. Winn,Princeton University,Physics and Astronomy,,
I. Ojalvo,Princeton University,Physics and Astronomy,,
Benjamin J. Raphael,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Michael Oppenheimer,Princeton University,"Economics, Econometrics and Finance",,
P. Das,Princeton University,Physics and Astronomy,,
David D. Turner,Princeton University,Earth and Planetary Sciences,,
Gerta Keller,Princeton University,Earth and Planetary Sciences,,
Lynn W. Enquist,Princeton University,Medicine,,
D. Marlow,Princeton University,Physics and Astronomy,,
David W. Tank,Princeton University,Neuroscience,,
D. Marlow,Princeton University,Physics and Astronomy,,
Ravi Shankar,Princeton University,"Business, Management and Accounting",,
Romain Teyssier,Princeton University,Physics and Astronomy,,
Sanjeev Arora,Princeton University,Computer Science,,
Athanassios Z. Panagiotopoulos,Princeton University,Engineering,,
Margaret Martonosi,Princeton University,Computer Science,,
James A. Smith,Princeton University,Earth and Planetary Sciences,,
Olga G. Troyanskaya,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
D. J. Lange,Princeton University,Physics and Astronomy,,
Gabriele Villarini,Princeton University,Environmental Science,,
Elke U. Weber,Princeton University,Decision Sciences,,
Michael M. Shen,Princeton University,Medicine,,
P. Lujan,Princeton University,Physics and Astronomy,,
S. A. Koay,Princeton University,Physics and Astronomy,,
D. Stickland,Princeton University,Physics and Astronomy,,
D. C. Tsui,Princeton University,Physics and Astronomy,,
Robert K. Prud’homme,Princeton University,Materials Science,,
Zhiyong Jason Ren,Princeton University,Environmental Science,,
Conor J. Walsh,Princeton University,Engineering,,
Joel D. Cooper,Princeton University,Medicine,,
Joshua M. Akey,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
S. A. Stanford,Princeton University,Physics and Astronomy,,
David B. Graves,Princeton University,Engineering,,
Shirley Ho,Princeton University,Physics and Astronomy,,
O. Driga,Princeton University,Physics and Astronomy,,
Alexander J. Smits,Princeton University,Engineering,,
William Bialek,Princeton University,Neuroscience,,
Bess B. Ward,Princeton University,Environmental Science,,
P. Piroué,Princeton University,Physics and Astronomy,,
Syukuro Manabe,Princeton University,Environmental Science,,
P. Schiffer,Princeton University,Physics and Astronomy,,
J. Olsen,Princeton University,Physics and Astronomy,,
Barry P. Rand,Princeton University,Engineering,,
Yael Niv,Princeton University,Neuroscience,,
Igor R. Klebanov,Princeton University,Physics and Astronomy,,
Blair D. Savage,Princeton University,Physics and Astronomy,,
P. Melchior,Princeton University,Physics and Astronomy,,
M. Jones,Princeton University,Physics and Astronomy,,
Virginia A. Zakian,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Jeroen Tromp,Princeton University,Earth and Planetary Sciences,,
Lars O. Hedin,Princeton University,Agricultural and Biological Sciences,,
